accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.537710964679718,0.5556942820549011,1.0093519687652588,0.5402237772941589,0.5325630307197571,0.7281672954559326,0.8241739273071289,0.584196150302887,0.7343358397483826,0.718137264251709,9.999999747378752e-05
0.594936728477478,0.63072669506073,0.8861677050590515,0.5997830629348755,0.5808823704719543,0.7367773652076721,0.863513708114624,0.5370447635650635,0.9409090876579285,0.5073529481887817,9.999999747378752e-05
0.6674578189849854,0.7341144680976868,0.7828835248947144,0.6771349906921387,0.6454831957817078,0.7429274320602417,0.8719983100891113,0.5426802635192871,0.6792792677879333,0.9240196347236633,9.999999747378752e-05
0.6991033554077148,0.76454758644104,0.8976893424987793,0.7054388523101807,0.6880252361297607,0.7552275657653809,0.8858418464660645,0.5156295299530029,0.6945996284484863,0.9142156839370728,9.999999747378752e-05
0.7439345717430115,0.8217507004737854,0.6468706727027893,0.7517539262771606,0.7316176295280457,0.8241082429885864,0.9081547856330872,0.40103060007095337,0.8032036423683167,0.8602941036224365,9.999999747378752e-05
0.7631856799125671,0.8480187058448792,0.6251068115234375,0.7678381204605103,0.7573529481887817,0.8277983069419861,0.9247125387191772,0.39666008949279785,0.8941176533699036,0.7450980544090271,9.999999747378752e-05
0.7850738167762756,0.8678724765777588,0.6166493892669678,0.7864282131195068,0.7851890921592712,0.847478449344635,0.9410221576690674,0.35051435232162476,0.9176470637321472,0.7647058963775635,9.999999747378752e-05
0.8059071898460388,0.8908101320266724,0.5279163718223572,0.8160173296928406,0.7920168042182922,0.8856088519096375,0.9539336562156677,0.2828461527824402,0.9069767594337463,0.8602941036224365,9.999999747378752e-05
0.8309599161148071,0.9055216908454895,0.514702558517456,0.8321935534477234,0.8308823704719543,0.875768780708313,0.9590716361999512,0.3103131949901581,0.9323943853378296,0.811274528503418,9.999999747378752e-05
0.86972576379776,0.9317790865898132,0.4139699637889862,0.8782188892364502,0.8597689270973206,0.9040590524673462,0.9722131490707397,0.23854294419288635,0.9532967209815979,0.8504902124404907,9.999999747378752e-05
